case_id,random_seed,speed_kmh,split,case_kind,defects_json
s001_seed30250811_v160_baseline,30250811,160,train,baseline,[]
s001_seed30250811_v160_fastener,30250811,160,train,fastener,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 191.4, ""count"": 4, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.0, ""damping_factor_eta_c"": 1.0}]"
s001_seed30250811_v160_sleeper_void,30250811,160,train,sleeper_void,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 164.4, ""count"": 5, ""side"": ""right"", ""directions"": ""vertical"", ""delta_gap_mm"": 0.98}]"
s001_seed30250811_v160_ballast,30250811,160,train,ballast,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 181.8, ""count"": 166, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.173, ""damping_factor_eta_c"": 1.0}]"
s001_seed30250811_v160_subgrade,30250811,160,train,subgrade,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 226.8, ""count"": 28, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.5672, ""damping_factor_eta_c"": 1.0}]"
s001_seed30250811_v160_coupled_fastener_subgrade,30250811,160,train,coupled_fastener_subgrade,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 178.8, ""count"": 1, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.1, ""damping_factor_eta_c"": 1.0}, {""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 283.2, ""count"": 121, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.6654, ""damping_factor_eta_c"": 1.0}]"
s002_seed29721531_v160_baseline,29721531,160,train,baseline,[]
s002_seed29721531_v160_fastener,29721531,160,train,fastener,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 241.2, ""count"": 9, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.25, ""damping_factor_eta_c"": 1.0}]"
s002_seed29721531_v160_sleeper_void,29721531,160,train,sleeper_void,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 180.0, ""count"": 5, ""side"": ""left"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.33}]"
s002_seed29721531_v160_ballast,29721531,160,train,ballast,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 180.0, ""count"": 93, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.136, ""damping_factor_eta_c"": 1.0}]"
s002_seed29721531_v160_subgrade,29721531,160,train,subgrade,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 259.2, ""count"": 150, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.7238, ""damping_factor_eta_c"": 1.0}]"
s002_seed29721531_v160_coupled_fastener_ballast,29721531,160,train,coupled_fastener_ballast,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 183.6, ""count"": 9, ""side"": ""left"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.5, ""damping_factor_eta_c"": 1.0}, {""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 156.0, ""count"": 105, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 7.9194, ""damping_factor_eta_c"": 1.0}]"
s003_seed87860543_v160_baseline,87860543,160,train,baseline,[]
s003_seed87860543_v160_fastener,87860543,160,train,fastener,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 262.2, ""count"": 2, ""side"": ""left"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.75, ""damping_factor_eta_c"": 1.0}]"
s003_seed87860543_v160_sleeper_void,87860543,160,train,sleeper_void,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 195.6, ""count"": 6, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 1.53}]"
